"<ol>
<li>L’épée. <b> </b>(On entend le son  « é »)</li>
<li>L’été. <b> </b>(On entend le son  « é »)</li>
<li>Mini. <b> </b>(On entend le son  « i »)</li>
<li>Baisser. <b> </b>(On entend le son  « é »)</li>
<li>Fini. <b> </b>(On entend le son  « i »)</li>
<li>Bébé. <b> </b>(On entend le son  « é »)</li>
<li>Ici. <b> </b>(On entend le son  « i »)</li>
<li>Répétez. <b> </b>(On entend le son  « é »).</li>
</ol>",[sound:i_e_exercice_3.mp3],exercice_discrimination_auditive
"<ol>
<li>Finiss<strong>ez</strong> !</li>
<li>Hiss<strong>ez</strong> !</li>
<li>List<strong>ez</strong> !</li>
<li>Cit<strong>ez</strong> !</li>
</ol>",[sound:i_e_exercice_4.mp3],exercice_discrimination_auditive
"<ol>
<li>Exercice de discrimination auditive des sons  « i-é » : exercices 1_2.</li>
<li>Écoute et répétition des sons « i-é » : exercices 3_8</li>
<li>Exercice de discrimination auditive des sons « i-é » : exercice 9.</li>
</ol>",[sound:i_e_exercice_1.mp3],exercice_discrimination_auditive
"<ol>
<li>L’épée. <b> </b>L’épi. (différent)</li>
<li>Listé. Lister. (identique)</li>
<li>Fini. Finit. (identique)</li>
<li>Ici. Hissez. (différent)</li>
<li>Mini. Miner. <b> </b>(différent)</li>
<li>Des tickets. <b> </b>Des tickets.<b> </b>(identique)</li>
<li>L’édit. L’idée. (différent).</li>
<li>Amitié. Amitié. (identique).</li>
</ol>",[sound:i_e_exercice_2.mp3],exercice_discrimination_auditive
"<ol>
<li>L’épée. <b> </b>(On entend le son  « é »)</li>
<li>L’été. <b> </b>(On entend le son  « é »)</li>
<li>Mini. <b> </b>(On entend le son  « i »)</li>
<li>Baisser. <b> </b>(On entend le son  « é »)</li>
<li>Fini. <b> </b>(On entend le son  « i »)</li>
<li>Bébé. <b> </b>(On entend le son  « é »)</li>
<li>Ici. <b> </b>(On entend le son  « i »)</li>
<li>Répétez. <b> </b>(On entend le son  « é »).</li>
</ol>",[sound:i_e_exercice_3.mp3],exercice_discrimination_auditive
"<ol>
<li>Finiss<strong>ez</strong> !</li>
<li>Hiss<strong>ez</strong> !</li>
<li>List<strong>ez</strong> !</li>
<li>Cit<strong>ez</strong> !</li>
</ol>",[sound:i_e_exercice_4.mp3],exercice_discrimination_auditive
"<ol>
<li>Il chute ?</li>
<li>Zut ?</li>
<li>Zut !</li>
<li>Issue ici.</li>
<li>Ici issue.</li>
</ol>",[sound:ex1-u.mp3],prononciation_u
"<ol>
<li>Chut !</li>
<li>Usine.</li>
<li>Zut, zut, zut !</li>
<li>Hirsute ?</li>
<li>Hirsute.</li>
</ol>",[sound:ex2-u.mp3],prononciation_u
"<ol>
<li>Il chute ?</li>
<li>Zut ?</li>
<li>Zut !</li>
<li>Issue ici.</li>
<li>Ici issue.</li>
</ol>",[sound:ex1-u.mp3],prononciation_u
"<ol>
<li>Chut !</li>
<li>Usine.</li>
<li>Zut, zut, zut !</li>
<li>Hirsute ?</li>
<li>Hirsute.</li>
</ol>",[sound:ex2-u.mp3],prononciation_u
"<ol type=""a"">
<li>la passion – la passion</li>
<li>le chant – le sang</li>
<li>ici – ici</li>
<li>ces gens – chez Jean</li>
<li>ces chênes – ces scènes</li>
<li>il s’est assis – il s’est assis</li>
</ol>",[sound:exercice1-ch-s.mp3],prononciation_ch_s
"<ol type=""a"">
<li>identique</li>
<li>différent</li>
<li>identique</li>
<li>différent</li>
<li>différent</li>
<li>identique</li>
</ol>",[sound:exercice-ch-2.mp3],prononciation_ch_s
"<ol type=""a"">
<li>chez Charles</li>
<li>six cent six</li>
<li>la nationalité</li>
<li>attention</li>
<li>Que cherchez-vous ?</li>
<li>la pression</li>
</ol>",[sound:exercice3-ch.mp3],prononciation_ch_s
"<ol type=""a"">
<li>[ch]</li>
<li>[s]</li>
<li>[s]</li>
<li>[s]</li>
<li>[ch]</li>
<li>[s]</li>
</ol>",[sound:exercice4-ch.mp3],prononciation_ch_s
"<ol type=""a"">
<li>Ils sont six cent six.</li>
<li>Si ! C’est précieux !</li>
<li>Ces solutions sont efficaces.</li>
<li>Est-ce possible ?</li>
<li>La soie est douce.</li>
</ol>",[sound:exercice5-ch.mp3],prononciation_ch_s
"<ol type=""a"">
<li>la passion – la passion</li>
<li>le chant – le sang</li>
<li>ici – ici</li>
<li>ces gens – chez Jean</li>
<li>ces chênes – ces scènes</li>
<li>il s’est assis – il s’est assis</li>
</ol>",[sound:exercice1-ch-s.mp3],prononciation_ch_s
"<ol type=""a"">
<li>identique</li>
<li>différent</li>
<li>identique</li>
<li>différent</li>
<li>différent</li>
<li>identique</li>
</ol>",[sound:exercice-ch-2.mp3],prononciation_ch_s
"<ol type=""a"">
<li>chez Charles</li>
<li>six cent six</li>
<li>la nationalité</li>
<li>attention</li>
<li>Que cherchez-vous ?</li>
<li>la pression</li>
</ol>",[sound:exercice3-ch.mp3],prononciation_ch_s
"<ol type=""a"">
<li>[ch]</li>
<li>[s]</li>
<li>[s]</li>
<li>[s]</li>
<li>[ch]</li>
<li>[s]</li>
</ol>",[sound:exercice4-ch.mp3],prononciation_ch_s
"<ol type=""a"">
<li>Ils sont six cent six.</li>
<li>Si ! C’est précieux !</li>
<li>Ces solutions sont efficaces.</li>
<li>Est-ce possible ?</li>
<li>La soie est douce.</li>
</ol>",[sound:exercice5-ch.mp3],prononciation_ch_s
"<ol>
<li>différent</li>
<li>différent</li>
<li>identique</li>
<li>différent</li>
<li>identique</li>
<li>différent</li>
</ol>",[sound:exercice1ch-je.mp3],prononciation_je_che
"<ol>
<li>cher – gère</li>
<li>le chouchou – le joujou</li>
<li>il cherche – il cherche</li>
<li>elle bouge – elle bouche</li>
<li>le chercheur – le chercheur</li>
<li>la cachette – la cagette</li>
</ol>",[sound:exercice2-ch-je.mp3],prononciation_je_che
"<ol>
<li>jeune et jolie</li>
<li>les chiens et les chats</li>
<li>le champagne</li>
<li>le choix</li>
<li>la joie</li>
<li>rouge</li>
</ol>",[sound:exercice3-ch-je.mp3],prononciation_je_che
"<ol>
<li>différent</li>
<li>différent</li>
<li>identique</li>
<li>différent</li>
<li>identique</li>
<li>différent</li>
</ol>",[sound:exercice1ch-je.mp3],prononciation_je_che
"<ol>
<li>cher – gère</li>
<li>le chouchou – le joujou</li>
<li>il cherche – il cherche</li>
<li>elle bouge – elle bouche</li>
<li>le chercheur – le chercheur</li>
<li>la cachette – la cagette</li>
</ol>",[sound:exercice2-ch-je.mp3],prononciation_je_che
"<ol>
<li>jeune et jolie</li>
<li>les chiens et les chats</li>
<li>le champagne</li>
<li>le choix</li>
<li>la joie</li>
<li>rouge</li>
</ol>",[sound:exercice3-ch-je.mp3],prononciation_je_che
"<ol>
<li>pas – bas</li>
<li>peau – beau</li>
<li>pi – bi</li>
<li>pu – bu</li>
<li>pain – bain</li>
<li>pont – bon</li>
</ol>",[sound:oppostion-pb-exercice1.mp3],opposition_p_b
"<ol>
<li>pas – bas</li>
<li>peau – beau</li>
<li>pi – bi</li>
<li>pu – bu</li>
<li>pain – bain</li>
<li>pont – bon</li>
</ol>",[sound:oppostion-pb-exercice1.mp3],opposition_p_b
